when_human=>2016-06-21T23:48|||desc=>../RESULT/10/2016-06-13/google/3/sz_vars_conv.sent|||time=>2016-06-21 23:48|||exists=>(-)|||job=>[[ -n "../RESULT/10/2016-06-13/google/3/sz_vars_conv.gz" ]] && nice zcat "../RESULT/10/2016-06-13/google/3/sz_vars_conv.gz" | ./set_sz_vars_for_bidder.pl***desc=>../RESULT/10/2016-06-13/google/3/sz_vars_conv.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>nice zcat "../RESULT/10/2016-06-13/google/3/sz_vars_30days.gz" | ./53_sz_vars_conv -conf=53_sz_vars_decl.conf***desc=>../RESULT/10/2016-06-13/google/3/sz_vars_30days.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>nice ./51_SZVARS_30DAYS "google" "2016-06-13"***desc=>../RESULT/10/2016-05-19/google/1/total.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>nice ./12_MERGE "google" "1" "2016-05-19" "" ***desc=>../RESULT/10/2016-05-19/google/1/2016-05-19T07.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>./10_HOURS_BY_HOURS "google" "1" "2016-05-19" "" ***desc=>../RESULT/10/2016-05-19/google/1/2016-05-19T05.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>./10_HOURS_BY_HOURS "google" "1" "2016-05-19" "" ***desc=>../RESULT/10/2016-05-19/google/1/2016-05-19T06.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>./10_HOURS_BY_HOURS "google" "1" "2016-05-19" "" ***desc=>../RESULT/10/2016-05-19/google/0/total.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>nice ./12_MERGE "google" "0" "2016-05-19" "" ***desc=>../RESULT/10/2016-05-19/google/0/2016-05-19T05.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>./10_HOURS_BY_HOURS "google" "0" "2016-05-19" "" ***desc=>../RESULT/10/2016-05-19/google/0/2016-05-19T07.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>./10_HOURS_BY_HOURS "google" "0" "2016-05-19" "" ***desc=>../RESULT/10/2016-05-19/google/0/2016-05-19T06.gz|||time=>2016-06-21 23:48|||exists=>(-)|||job=>./10_HOURS_BY_HOURS "google" "0" "2016-05-19" "" 
when_human=>2016-06-18T00:01|||desc=>../RESULT/10/2016-06-13/ssp/3/url_cat_diff.gz|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1465881910|||file_modify_human=>2016-06-14 08:25|||how_long_hours=>32
when_human=>2016-06-18T00:01|||desc=>../RESULT/10/2016-06-13/ssp/3/url_cat_diff.sent|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1465890693|||file_modify_human=>2016-06-14 10:51|||how_long_hours=>34
when_human=>2016-06-18T23:56|||desc=>../RESULT/10/2016-06-14/net/0/url_cat_diff.gz|||name_time_human=>2016-06-14|||name_sec=>1465851600|||file_modify_sec=>1466053251|||file_modify_human=>2016-06-16 08:00|||how_long_hours=>56
when_human=>2016-06-21T23:49|||desc=>../RESULT/10/2016-06-13/google/3/urlvars_diff.gz|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1466337690|||file_modify_human=>2016-06-19 15:01|||how_long_hours=>159
when_human=>2016-06-21T23:49|||desc=>../RESULT/10/2016-06-13/google/3/urlvars_diff.sent|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1466357770|||file_modify_human=>2016-06-19 20:36|||how_long_hours=>164
when_human=>2016-06-21T23:52|||desc=>../RESULT/10/2016-06-13/ssp/3/sz_vars_conv.sent|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1466352513|||file_modify_human=>2016-06-19 19:08|||how_long_hours=>163
when_human=>2016-06-21T20:53|||desc=>../RESULT/10/2016-06-13/ssp/3/urlvars_diff.gz|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1466348902|||file_modify_human=>2016-06-19 18:08|||how_long_hours=>162
when_human=>2016-06-21T20:54|||desc=>../RESULT/10/2016-06-13/ssp/3/urlvars_diff.sent|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1466376106|||file_modify_human=>2016-06-20 01:41|||how_long_hours=>169
when_human=>2016-06-18T23:56|||desc=>../RESULT/10/2016-06-14/net/0/url_cat_diff.sent|||name_time_human=>2016-06-14|||name_sec=>1465851600|||file_modify_sec=>1466054102|||file_modify_human=>2016-06-16 08:15|||how_long_hours=>56
