# Record_dt	File	Modify-time	How-long(hours)	Dependency

# Type: sz_vars_conv.sent:
2016-06-24T23:55	../RESULT/10/2016-06-20/ssp/3/toolbar_trait.sent-v	2016-06-21 06:18	30 hours (1 days)	-
2016-06-25T23:55	../RESULT/10/2016-06-21/ssp/3/toolbar_trait.sent-v	2016-06-22 05:38	29 hours (1 days)	-
2016-06-26T23:55	../RESULT/10/2016-06-22/ssp/3/toolbar_trait.sent-v	2016-06-23 06:00	30 hours (1 days)	-
2016-06-27T23:59	../RESULT/10/2016-06-23/ssp/3/toolbar_trait.sent-v	2016-06-24 16:15	40 hours (1 days)	-
2016-06-28T23:55	../RESULT/10/2016-06-24/ssp/3/toolbar_trait.sent-v	2016-06-25 08:09	32 hours (1 days)	-
2016-06-29T23:57	../RESULT/10/2016-06-25/ssp/3/toolbar_trait.sent-v	2016-06-26 06:39	30 hours (1 days)	-
2016-06-30T23:06	../RESULT/10/2016-06-26/ssp/3/toolbar_trait.sent-v	2016-06-27 06:55	30 hours (1 days)	-
2016-07-01T23:57	../RESULT/10/2016-06-27/ssp/3/toolbar_trait.sent-v	2016-06-28 11:25	35 hours (1 days)	-
2016-07-02T23:55	../RESULT/10/2016-06-28/ssp/3/toolbar_trait.sent-v	2016-06-29 07:00	31 hours (1 days)	-
2016-07-03T23:55	../RESULT/10/2016-06-29/ssp/3/toolbar_trait.sent-v	2016-06-30 05:49	29 hours (1 days)	-
2016-07-04T23:55	../RESULT/10/2016-06-30/ssp/3/toolbar_trait.sent-v	2016-07-01 11:26	35 hours (1 days)	-
2016-07-05T23:55	../RESULT/10/2016-07-01/ssp/3/toolbar_trait.sent-v	2016-07-02 06:41	30 hours (1 days)	-
2016-07-06T23:59	../RESULT/10/2016-07-02/ssp/3/toolbar_trait.sent-v	2016-07-03 07:48	31 hours (1 days)	-
2016-07-07T23:46	../RESULT/10/2016-07-03/ssp/3/toolbar_trait.sent-v	2016-07-04 06:45	30 hours (1 days)	-
2016-07-08T23:56	../RESULT/10/2016-07-04/ssp/3/toolbar_trait.sent-v	2016-07-05 06:11	30 hours (1 days)	-
2016-07-09T23:55	../RESULT/10/2016-07-05/ssp/3/toolbar_trait.sent-v	2016-07-06 08:54	32 hours (1 days)	-
2016-07-10T23:55	../RESULT/10/2016-07-06/ssp/3/toolbar_trait.sent-v	2016-07-07 05:44	29 hours (1 days)	-
